close EURJPY at 109.01,,,,
close GBPAUD at 1.5742,,11,,-11
buy EURCHF at 1.0769, distance: 49.6,,,
close EURCHF at 1.084,,71,,71
buy GBPCHF at 1.237, distance: 85.1,,,
close GBPCHF at 1.2352,,-18,,-18
buy EURAUD at 1.381, distance: 23.7,,,
close EURAUD at 1.3809,,-1,,1
sell GBPCHF at 1.2365, distance: -42,,,
close GBPCHF at 1.2382,,-17,,-17
buy EURAUD at 1.3815, distance: 16.3,,,
close EURAUD at 1.3814,,-1,,1
buy EURCHF at 1.0902, distance: 44.3,,,
close EURCHF at 1.0914,,12,,12
buy GBPCHF at 1.2446, distance: 70.8,,,
close GBPCHF at 1.2444,,-2,,-2
sell EURUSD at 1.4202, distance: -11.9,,,
close EURUSD at 1.4202,,0,,0
sell GBPCHF at 1.2437, distance: -29.1,,,
close GBPCHF at 1.2453,,-16,,16
buy GBPJPY at 124.281, distance: 19.3,,,
close GBPJPY at 124.249,,-3.2,,3.2
buy GBPCHF at 1.2464, distance: 36.6,,,
close GBPCHF at 1.2593,,129,,129
buy GBPUSD at 1.6276, distance: 33.2,,,
close GBPUSD at 1.6271,,-5,,-5
sell GBPCHF at 1.2579, distance: -44.5,,,
close GBPCHF at 1.2575,,4,,4
buy GBPJPY at 124.829, distance: 14.3,,,
close GBPJPY at 124.844,,1.5,,-1.5
buy GBPCHF at 1.2577, distance: 29,,,
close GBPCHF at 1.2547,,-30,,30
buy GBPUSD at 1.6288, distance: 18.2,,,
close GBPUSD at 1.6283,,-5,,5
sell GBPCHF at 1.2544, distance: -27,,,
close GBPCHF at 1.2553,,-11,,11
buy GBPCAD at 1.6076, distance: 11.1,,,
close GBPCAD at 1.6065,,-11,,11
buy EURCHF at 1.0985, distance: 11.6,,,
close EURCHF at 1.1011,,26,,-26
sell EURAUD at 1.3774, distance: -19.1,,,
close EURAUD at 1.3783,,-9,,9
buy GBPCHF at 1.2602, distance: 14.1,,,
close GBPCHF at 1.2589,,-13,,13
sell EURUSD at 1.4238, distance: -10.3,,,
close EURUSD at 1.4239,,-1,,1
sell GBPCHF at 1.2565, distance: -27,,,
close GBPCHF at 1.2575,,-10,,10
buy GBPJPY at 124.936, distance: 5.9,,,
close GBPJPY at 124.915,,-2.1,,2.1
buy GBPCHF at 1.2574, distance: 17.2,,,
close GBPCHF at 1.2566,,-8,,8
buy GBPCAD at 1.6062, distance: 10.1,,,
close GBPCAD at 1.6065,,3,,-3
buy EURCAD at 1.4057, distance: 15.8,,,
close EURCAD at 1.4051,,-6,,6
sell GBPCHF at 1.2535, distance: -32.9,,,
close GBPCHF at 1.255,,-15,,-15
sell GBPCAD at 1.6054, distance: -15.5,,,
close GBPCAD at 1.6059,,-5,,5
buy EURCHF at 1.0988, distance: 21.7,,,
close EURCHF at 1.0971,,-17,,17
buy EURCAD at 1.4054, distance: 14.7,,,
close EURCAD at 1.4056,,2,,-2
sell EURCHF at 1.0957, distance: -24.1,,,
close EURCHF at 1.0974,,-17,,17
buy EURCAD at 1.4067, distance: 13.2,,,
close EURCAD at 1.4057,,-10,,10
sell GBPCAD at 1.6067, distance: -4.2,,,
close GBPCAD at 1.6068,,-1,,1
sell EURCHF at 1.0941, distance: -23.3,,,
close EURCHF at 1.0941,,0,,0
buy GBPUSD at 1.6283, distance: 16.6,,,
close GBPUSD at 1.6274,,-9,,9
sell EURCHF at 1.0932, distance: -13.6,,,
close EURCHF at 1.0951,,-19,,19
buy GBPCAD at 1.6085, distance: 12.3,,,
close GBPCAD at 1.608,,-5,,5
buy EURUSD at 1.4242, distance: 16.4,,,
close EURUSD at 1.424,,-2,,2
buy EURCHF at 1.0957, distance: 22.5,,,
close EURCHF at 1.0969,,12,,-12
sell GBPAUD at 1.5746, distance: -28.3,,,
close GBPAUD at 1.5749,,-3,,3
buy EURCHF at 1.0996, distance: 16.6,,,
close EURCHF at 1.098,,-16,,16
sell GBPAUD at 1.573, distance: -11.5,,,
close GBPAUD at 1.574,,-10,,10
sell GBPCHF at 1.2528, distance: -20.9,,,
close GBPCHF at 1.2537,,-9,,9
buy GBPCAD at 1.6075, distance: 9.4,,,
close GBPCAD at 1.6065,,-10,,10
sell EURJPY at 109.197, distance: -4.3,,,
close EURJPY at 109.243,,-4.6,,4.6
buy EURCHF at 1.0998, distance: 11.3,,,
close EURCHF at 1.0997,,-1,,1
sell GBPAUD at 1.5715, distance: -19.7,,,
close GBPAUD at 1.5721,,-6,,6
sell GBPCHF at 1.2514, distance: -41,,,
close GBPCHF at 1.2527,,-13,,-13
sell EURCAD at 1.4068, distance: -17.5,,,
close EURCAD at 1.407,,-2,,2
sell EURUSD at 1.4248, distance: -10.8,,,
close EURUSD at 1.4248,,0,,0
buy GBPCAD at 1.606, distance: 16.8,,,
close GBPCAD at 1.6047,,-13,,13
buy EURJPY at 109.401, distance: 31.2,,,
close EURJPY at 109.407,,0.6,,-0.6
buy GBPCHF at 1.257, distance: 42.7,,,
close GBPCHF at 1.2564,,-6,,-6
buy GBPAUD at 1.5749, distance: 20.8,,,
close GBPAUD at 1.5752,,3,,-3
buy GBPJPY at 124.918, distance: 16.6,,,
close GBPJPY at 124.96,,4.2,,-4.2
buy EURJPY at 109.581, distance: 21.5,,,
close EURJPY at 109.477,,-10.4,,10.4
buy EURCAD at 1.4101, distance: 17.8,,,
close EURCAD at 1.4091,,-10,,10
buy GBPCAD at 1.609, distance: 19.6,,,
close GBPCAD at 1.6082,,-8,,8
sell EURUSD at 1.4266, distance: -20.3,,,
close EURUSD at 1.4276,,-10,,10
sell EURCAD at 1.4076, distance: -22,,,
close EURCAD at 1.4067,,9,,-9
sell GBPCHF at 1.2555, distance: -12.6,,,
close GBPCHF at 1.2576,,-21,,21
buy EURUSD at 1.4274, distance: 8.9,,,
close EURUSD at 1.4269,,-5,,5
buy GBPCHF at 1.257, distance: 10.2,,,
close GBPCHF at 1.2553,,-17,,17
sell GBPAUD at 1.5756, distance: -9.8,,,
close GBPAUD at 1.576,,-4,,4
buy EURCAD at 1.4084, distance: 17.2,,,
close EURCAD at 1.4077,,-7,,7
buy GBPUSD at 1.6312, distance: 18.2,,,
close GBPUSD at 1.6308,,-4,,4
buy GBPCHF at 1.2578, distance: 26.6,,,
close GBPCHF at 1.2583,,5,,-5
buy GBPCAD at 1.6096, distance: 29.6,,,
close GBPCAD at 1.6094,,-2,,2
sell CADJPY at 77.443, distance: -36.6,,,
close CADJPY at 77.382,,6.1,,6.1
buy GBPCAD at 1.6132, distance: 48.7,,,
close GBPCAD at 1.6121,,-11,,-11
sell GBPCHF at 1.2542, distance: -41,,,
close GBPCHF at 1.2552,,-10,,-10
buy EURCAD at 1.4111, distance: 18.6,,,
close EURCAD at 1.4103,,-8,,8
sell EURUSD at 1.4234, distance: -33.2,,,
close EURUSD at 1.4242,,-8,,-8
buy GBPCAD at 1.614, distance: 42.1,,,
close GBPCAD at 1.6126,,-14,,-14
buy GBPCHF at 1.2589, distance: 22.1,,,
close GBPCHF at 1.2567,,-22,,22
sell GBPCAD at 1.6107, distance: -29.6,,,
close GBPCAD at 1.6113,,-6,,6
sell GBPCHF at 1.2557, distance: -26.1,,,
close GBPCHF at 1.2563,,-6,,6
sell GBPAUD at 1.576, distance: -23.9,,,
close GBPAUD at 1.5767,,-7,,7
buy GBPCAD at 1.6117, distance: 10,,,
close GBPCAD at 1.6109,,-8,,8
sell GBPAUD at 1.5747, distance: -18.1,,,
close GBPAUD at 1.5748,,-1,,1
sell EURCHF at 1.098, distance: -25.7,,,
close EURCHF at 1.0996,,-16,,16
buy GBPAUD at 1.5781, distance: 31.8,,,
close GBPAUD at 1.5781,,0,,0
buy GBPCHF at 1.2595, distance: 53,,,
close GBPCHF at 1.2579,,-16,,-16
sell EURAUD at 1.3775, distance: -16.4,,,
close EURAUD at 1.3773,,2,,-2
sell GBPCHF at 1.2566, distance: -33.4,,,
close GBPCHF at 1.2558,,8,,8
buy EURJPY at 109.307, distance: 15.6,,,
close EURJPY at 109.237,,-7,,7
sell GBPCHF at 1.2522, distance: -21.7,,,
close GBPCHF at 1.2528,,-6,,6
sell GBPCAD at 1.6113, distance: -33.6,,,
close GBPCAD at 1.6117,,-4,,-4
sell GBPCHF at 1.2525, distance: -29.2,,,
close GBPCHF at 1.2529,,-4,,4
sell GBPAUD at 1.5754, distance: -19.5,,,
close GBPAUD at 1.5733,,21,,-21
buy EURCHF at 1.0993, distance: 26.5,,,
close EURCHF at 1.0982,,-11,,11
sell EURAUD at 1.3754, distance: -14.2,,,
close EURAUD at 1.3762,,-8,,8
sell EURCHF at 1.0982, distance: -16.4,,,
close EURCHF at 1.0986,,-4,,4
sell GBPCAD at 1.6077, distance: -11.4,,,
close GBPCAD at 1.6088,,-11,,11
sell GBPUSD at 1.6271, distance: -13,,,
close GBPUSD at 1.6281,,-10,,10
buy GBPAUD at 1.5749, distance: 14.2,,,
close GBPAUD at 1.5741,,-8,,8
sell EURCHF at 1.0961, distance: -14.6,,,
close EURCHF at 1.0971,,-10,,10
sell EURCAD at 1.4058, distance: -14.3,,,
close EURCAD at 1.4068,,-10,,10
sell EURCHF at 1.096, distance: -13.1,,,
close EURCHF at 1.0975,,-15,,15
buy EURAUD at 1.3775, distance: 11.9,,,
close EURAUD at 1.3768,,-7,,7
buy EURCAD at 1.4078, distance: 16.1,,,
close EURCAD at 1.4084,,6,,-6
buy GBPAUD at 1.5762, distance: 12.8,,,
close GBPAUD at 1.5749,,-13,,13
buy EURJPY at 109.446, distance: 11.4,,,
close EURJPY at 109.479,,3.3,,-3.3
sell GBPAUD at 1.5746, distance: -24.7,,,
close GBPAUD at 1.575,,-4,,4
buy GBPCHF at 1.2569, distance: 13.4,,,
close GBPCHF at 1.2559,,-10,,10
sell GBPJPY at 125.064, distance: -7.7,,,
close GBPJPY at 125.009,,5.5,,-5.5
buy GBPCHF at 1.258, distance: 15.6,,,
close GBPCHF at 1.261,,30,,-30
sell GBPAUD at 1.572, distance: -7.3,,,
close GBPAUD at 1.573,,-10,,10
buy GBPCHF at 1.2622, distance: 9,,,
close GBPCHF at 1.2631,,9,,-9
buy GBPAUD at 1.5742, distance: 18.8,,,
close GBPAUD at 1.5738,,-4,,4
sell EURCHF at 1.1044, distance: -31.6,,,
close EURCHF at 1.1048,,-4,,-4
sell GBPCHF at 1.2621, distance: -19.4,,,
close GBPCHF at 1.2631,,-10,,10
buy EURAUD at 1.3781, distance: 15.5,,,
close EURAUD at 1.3794,,-477.3,,597.5
buy GBPAUD at 1.5778, distance: 22.4,,,
close GBPAUD at 1.5771,,,,
sell EURCHF at 1.1018, distance: -27,,,
close EURCHF at 1.1031,,,,
sell GBPAUD at 1.5751, distance: -18,,,
close GBPAUD at 1.5767,,,,
buy GBPCHF at 1.2624, distance: 19.2,,,
close GBPCHF at 1.2621,,,,
sell GBPAUD at 1.5732, distance: -16,,,
close GBPAUD at 1.5733,
buy EURCHF at 1.1079, distance: 40.6
close EURCHF at 1.1066,
sell GBPCHF at 1.2642, distance: -13.7
close GBPCHF at 1.2647,
buy EURCHF at 1.1072, distance: 6.9
close EURCHF at 1.1056,
buy GBPAUD at 1.5753, distance: 20.4
close GBPAUD at 1.5735,
sell GBPCHF at 1.2626, distance: -6.8
close GBPCHF at 1.2642,
sell EURAUD at 1.3765, distance: -8
close EURAUD at 1.3778,
buy GBPCHF at 1.2669, distance: 19.4
close GBPCHF at 1.2641,
sell GBPCAD at 1.6107, distance: -9.1
close GBPCAD at 1.6141,
sell EURCHF at 1.1069, distance: -5.8
close EURCHF at 1.1078,
buy GBPJPY at 125.231, distance: 5.6
close GBPJPY at 124.962,
buy EURUSD at 1.4262, distance: 9.4
close EURUSD at 1.4253,
buy EURCHF at 1.1098, distance: 20.3
close EURCHF at 1.1083,
sell CADJPY at 77.474, distance: -5.5
close CADJPY at 77.616,
sell GBPCHF at 1.2645, distance: -8.9
close GBPCHF at 1.266,
sell GBPCAD at 1.609, distance: -17.1
